Mass,Radius
1,1
2.1,1.71
15,71
1.1,1.2
1.1,26
2.2,2.7
2.6,12
23,78.9
1.5,1.9
20,950
6.7,9.3
10.5,8.6
1.8,1.8
18,8.9
1.5,44
12,680
11.43,7.47
1.9,8.8
1.9,1.8
19,203
16,8.4
3.8,3.1
12.5,14
14.5,8.8
2.8,2.4
1.5,84
8.6,5.8
5,4.2
3.5,6.8
32,42
9,6
4,3.4
2.9,4.2
33,20
4.25,30
8.5,68
17,200
5.7,26
3.5,6.8
9,130
6.1,3.4
2.39,2.77
7,92
2.8,3.3
5.9,4.8
2.4,2.9
13.5,10
5.4,39
3,50
2.1,95
15,140
2.8,280
0.783,0.893
0.991,1.22
0.82,0.74
20,485
100,881
4.5,44.5
19.2,972
1.27,1.48
22,800
30,76
18.2,750
0.7,0.665
0.8,298
1.59,3.74
0.85,85
0.76,0.94
1.2,370
13.9,1158
0.6,0.51
0.5,450
2,1.4
0.8,3.4
17,1420
100,320
24,380
7,755
0.14,0.2
0.04,0.02
0.12,0.15
1.43,1.58
290,32
189,21.1
19,0.39
57.48,14.47
1.01,0.99
0.16,0.21
50,1900
0.075,0.1
20,1600
0.089,0.12
0.07,0.086
0.003,0.086
33,0.2
0.045820224,0.10173537
0.018137172,0.16750369
0.075412452,0.11201167
0.029592228,0.14797872
0.051547752,0.10070774
0.027683052,0.14695109
0.040092696,0.09659722
0.040092696,0.09659722
0.021955524,0.16647606
0.011455056,0.1335919
0.03818352,0.09659722
0.027683052,0.14695109
0.049638576,0.10070774
0.049638576,0.10070774
0.01909176,0.16647606
0.01909176,0.16544843
0.044865636,0.09968011
0.044865636,0.09968011
0.01431882,0.15722739
0.01909176,0.16647606
0.025773876,0.14489583
0.031501404,0.10173537
0.074457864,0.11098404
0.07636704,0.13050901
0.06204822,0.1952497
0.06204822,0.1952497
0.07636704,0.09968011
0.046774812,0.09968011
0.084003744,0.11817745
0.021955524,0.17058658
0.04295646,0.09762485
0.017182584,0.1335919
0.051547752,0.10070774
0.069684924,0.10687352
0.069684924,0.14695109
0.070639512,0.10790115
0.05250234,0.38844414
0.097367976,0.13050901
0.01909176,0.13564716
0.02863764,0.09762485
0.07636704,0.11201167
0.0954588,0.12948138
0.037228932,0.20244311
0.045820224,0.09968011
0.021000936,0.18291814
0.061093632,0.102763
0.000992772,7.398936
0.061093632,0.102763
0.020046348,0.14181294
0.044865636,0.09968011
0.064911984,0.10379063
0.058229868,0.10379063
0.026728464,0.14489583
0.036274344,0.15517213
0.053456928,0.10173537
0.063957396,0.10379063
0.0715941,0.10790115
0.068730336,0.10584589
0.024819288,0.10070774
0.039138108,0.09659722
0.035319756,0.09659722
0.041047284,0.09659722
0.067775748,0.10584589
0.001918722,6.987884
0.042001872,0.09659722
0.049638576,0.10070774
0.045820224,0.10173537
0.084003744,0.11817745
0.043911048,0.09865248
0.059184456,0.102763
0.061093632,0.102763
0.073503276,0.10995641
0.0477294,0.10070774
0.040092696,0.09659722
0.030546816,0.09762485
0.046774812,0.09865248
0.042001872,0.09659722
0.048683988,0.10070774
0.025773876,0.14489583
0.046774812,0.09968011
0.040092696,0.09659722
0.073503276,0.10995641
0.041047284,0.10481826
0.03818352,0.10379063
0.061093632,0.102763
0.034365168,0.24560357
0.007636704,0.1849734
0.008591292,0.12742612
0.031501404,0.09865248
0.02863764,0.2260786
0.035319756,0.1541445
0.061093632,0.102763
0.016227996,0.17572473
0.040092696,0.09659722
0.039138108,0.09659722
0.001909176,2.569075
0.044865636,0.10070774
0.060139044,0.10070774
0.055366104,0.10070774
0.063957396,0.10379063
0.048683988,0.09968011
0.042001872,0.09659722
0.060139044,0.102763
0.030546816,0.09865248
0.056320692,0.10173537
0.020046348,0.13564716
0.072548688,0.10892878
0.068730336,0.10584589
0.087822096,0.12228797
0.056320692,0.10173537
0.010595927,0.1541445
0.008591292,0.1335919
0.0715941,0.10790115
0.042001872,0.09659722
0.042001872,0.09659722
0.065866572,0.10481826
0.05727528,0.10173537
0.075412452,0.11098404
0.054411516,0.10173537
0.051547752,0.10070774
0.060139044,0.102763
0.042001872,0.09659722
0.02863764,0.14695109
0.067775748,0.10584589
0.040092696,0.09659722
0.041047284,0.09659722
0.067775748,0.10584589
0.046774812,0.09968011
0.039138108,0.09659722
0.069684924,0.10687352
0.022910112,0.1438682
0.044865636,0.09968011
0.04295646,0.09762485
0.073503276,0.10995641
0.063957396,0.10379063
0.091640448,0.12537086
0.0238647,0.19319444
0.043911048,0.09865248
0.06682116,0.10481826
0.065866572,0.10481826
0.006204822,0.15722739
0.089731272,0.12434323
0.043911048,0.09865248
0.05250234,0.10173537
0.021000936,0.13667479
0.025773876,0.14489583
0.058229868,0.10173537
0.040092696,0.09659722
0.069684924,0.10687352
0.011455056,0.13256427
0.022910112,0.14284057
0.016227996,0.16339317
0.084003744,0.11920508
0.07636704,0.11201167
0.005727528,0.12023271
0.01431882,0.4316046
0.00954588,0.3904994
0.02863764,0.08837618
